Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,395.85,398.05,388.00,392.80,5622300,193.381
2013-12-30,390.60,398.45,382.55,392.30,10867400,193.135
2013-12-27,404.80,404.80,385.25,390.60,10269800,192.298
2013-12-26,403.00,414.40,400.00,402.80,11961100,198.304
2013-12-25,399.90,399.90,399.90,399.90,000,196.877
2013-12-24,385.00,404.75,384.30,399.90,15180900,196.877
2013-12-23,377.00,387.70,376.00,383.80,6406400,188.95
2013-12-20,375.00,389.20,374.00,377.85,12890900,186.021
2013-12-19,375.00,390.00,370.20,377.70,21600300,185.947
2013-12-18,353.00,389.55,352.85,377.15,36614700,185.676
2013-12-17,354.00,362.75,343.00,354.60,27655100,174.575
2013-12-16,312.40,351.25,311.95,349.05,32493800,171.842
2013-12-13,296.70,311.60,295.40,310.00,5872400,152.617
2013-12-12,300.00,305.80,296.50,297.95,3980600,146.685
2013-12-11,308.40,309.00,303.35,304.65,2193200,149.984
2013-12-10,305.00,309.70,303.10,306.25,3295900,150.771
2013-12-09,310.10,311.65,302.00,306.30,3550000,150.796
2013-12-06,302.00,307.90,296.50,306.20,3594200,150.747
2013-12-05,309.00,311.95,301.40,302.55,5254000,148.95
2013-12-04,306.45,310.45,304.45,307.35,4024900,151.313
2013-12-03,306.10,307.90,304.20,306.70,4669000,150.993
2013-12-02,296.00,305.50,293.80,304.20,5403800,149.762
2013-11-29,294.00,297.90,293.00,293.55,4184600,144.519
2013-11-28,287.75,296.50,286.55,291.60,5359400,143.559
2013-11-27,293.00,295.30,288.00,289.20,4138000,142.377
2013-11-26,284.85,293.20,282.70,291.70,4575100,143.608
2013-11-25,280.90,284.90,280.50,284.30,3860600,139.965
2013-11-22,276.00,280.55,274.55,278.35,3687000,137.036
2013-11-21,272.55,279.25,271.20,275.10,4887600,135.436
2013-11-20,277.25,281.20,272.35,273.60,3171900,134.697
2013-11-19,278.00,283.35,275.40,278.60,3907100,137.159
2013-11-18,283.00,287.85,277.70,278.80,7788900,136.026
2013-11-15,281.95,281.95,281.95,281.95,000,137.563
2013-11-14,274.50,283.00,269.30,281.95,10243400,137.563
2013-11-13,272.15,277.50,269.20,273.40,5911900,133.392
2013-11-12,270.05,275.50,265.00,271.90,7484300,132.66
2013-11-11,261.00,274.40,261.00,268.45,11810100,130.977
2013-11-08,247.00,264.90,244.30,260.40,29220600,127.049
2013-11-07,243.65,245.65,235.70,238.45,5807000,116.34
2013-11-06,243.40,244.45,237.05,242.45,5696300,118.291
2013-11-05,237.10,244.20,236.00,240.75,6657600,117.462
2013-11-04,229.75,229.75,229.75,229.75,000,112.095
2013-11-01,217.00,231.00,217.00,229.75,6711500,112.095
2013-10-31,219.50,221.40,215.10,216.70,3194100,105.728
2013-10-30,214.00,220.00,212.15,218.65,3294500,106.679
2013-10-29,209.05,214.45,205.90,212.80,3191600,103.825
2013-10-28,216.90,217.85,209.30,210.25,2498500,102.581
2013-10-25,215.90,218.75,214.25,215.55,2210700,105.167
2013-10-24,215.10,220.45,213.15,215.80,2632100,105.289
2013-10-23,221.95,223.10,211.65,216.10,3015000,105.435
2013-10-22,219.95,224.20,219.10,221.70,5753600,108.167
2013-10-21,208.00,219.50,208.00,218.80,5838300,106.752
2013-10-18,203.10,209.45,202.70,207.95,2219100,101.459
2013-10-17,207.00,210.25,202.05,203.75,3866900,99.41
2013-10-16,206.75,206.75,206.75,206.75,000,100.873
2013-10-15,210.30,211.50,204.45,206.75,1953300,100.873
2013-10-14,208.10,213.90,208.10,209.65,2322900,102.288
2013-10-11,213.95,213.95,207.20,208.35,2973000,101.654
2013-10-10,210.80,214.50,209.60,211.05,4460900,102.971
2013-10-09,204.05,211.90,204.05,210.70,5096900,102.80
2013-10-08,210.00,210.45,205.55,206.00,3612700,100.507
2013-10-07,210.00,215.00,207.75,209.00,5696400,101.971
2013-10-04,211.00,212.90,207.10,210.25,3612800,102.581
2013-10-03,210.40,214.15,208.70,211.70,8582300,103.288
2013-10-02,209.00,209.00,209.00,209.00,000,101.971
2013-10-01,203.50,210.30,198.10,209.00,7211800,101.971
2013-09-30,202.00,205.30,200.25,202.35,6492000,98.727
2013-09-27,195.50,205.35,194.10,200.70,11921300,97.921
2013-09-26,193.00,195.70,189.40,194.45,3863800,94.872
2013-09-25,193.25,193.70,187.30,192.05,3466200,93.701
2013-09-24,190.00,193.00,188.40,192.05,3949900,93.701
2013-09-23,188.00,190.30,185.00,188.30,2717200,91.872
2013-09-20,186.00,189.95,180.25,188.85,4789200,92.14
2013-09-19,180.20,186.45,178.00,185.75,3287200,90.627
2013-09-18,177.00,179.75,174.70,177.35,1734300,86.529
2013-09-17,172.90,178.70,170.70,177.65,2634700,86.675
2013-09-16,186.90,186.90,171.05,173.20,3713800,84.504
2013-09-13,184.00,187.80,181.10,183.05,3268500,89.31
2013-09-12,187.20,190.00,179.65,182.85,3694700,89.212
2013-09-11,187.90,192.85,185.25,187.15,4508800,91.31
2013-09-10,193.00,194.80,186.00,188.15,4145100,91.798
2013-09-09,190.05,190.05,190.05,190.05,000,92.725
2013-09-06,188.80,195.80,188.10,190.05,4818100,92.725
2013-09-05,193.00,194.00,186.00,188.60,4013700,92.018
2013-09-04,183.05,191.50,182.40,189.50,3489000,92.457
2013-09-03,183.00,188.80,179.50,182.75,4069300,89.164
2013-09-02,181.00,186.00,180.10,182.80,2862500,89.188
2013-08-30,181.00,186.45,176.25,181.55,3597100,88.578
2013-08-29,180.00,182.70,175.35,181.60,9975300,88.603
2013-08-28,170.80,180.35,163.20,178.70,4889900,87.188
2013-08-27,181.20,182.40,170.80,171.60,2810100,83.724
2013-08-26,181.95,184.80,177.10,182.70,2595000,89.139
2013-08-23,182.00,182.55,175.65,179.75,2707000,87.70
2013-08-22,172.25,181.00,168.30,180.10,4591600,87.871
2013-08-21,188.80,189.50,170.00,172.25,4091600,84.041
2013-08-20,183.80,188.00,180.30,185.05,3420200,90.286
2013-08-19,185.00,186.35,176.00,183.70,3930900,89.627
2013-08-16,190.15,193.85,181.25,186.10,5301700,90.798
2013-08-15,190.50,190.50,190.50,190.50,000,92.945
2013-08-14,188.05,192.40,184.20,190.50,4955500,92.945
2013-08-13,180.70,188.50,178.00,187.10,6989100,91.286
2013-08-12,167.90,184.35,166.65,180.70,12388900,88.163
2013-08-09,161.30,161.30,161.30,161.30,000,78.698
2013-08-08,157.00,164.00,154.10,161.30,3385300,78.698
2013-08-07,151.00,159.60,148.85,158.00,4910300,77.088
2013-08-06,147.70,151.80,138.35,148.70,10874800,72.551
