Date,Open,High,Low,Close,Volume,Adj Close
12/31/2013,323,324,320.3,321.85,3471100,316.11
12/30/2013,322,324,320,322.4,3839300,316.65
12/27/2013,321,323.65,320,322.45,5454400,316.7
12/26/2013,319.1,321.4,317.7,320.25,10307400,314.54
12/25/2013,319.05,319.05,319.05,319.05,0,313.36
12/24/2013,319.75,320,317.5,319.05,4400900,313.36
12/23/2013,315.2,319.9,314.85,319.2,5825100,313.51
12/20/2013,314,315.9,310.35,315.2,10017100,309.58
12/19/2013,317,317.5,311.1,313.65,7483300,308.06
12/18/2013,315.3,317.65,312.8,315.55,7984400,309.93
12/17/2013,314.85,315.85,312.1,315.3,5447100,309.68
12/16/2013,314.35,315,310.7,312.8,4261900,307.23
12/13/2013,315.6,317.5,312.35,315.3,4770100,309.68
12/12/2013,320.85,322,315.7,316.8,4168400,311.15
12/11/2013,317,321.75,317,320.85,7004800,315.13
12/10/2013,313.25,318.5,313,317.9,10737700,312.23
12/9/2013,316,317.6,310.65,313.05,6250200,307.47
12/6/2013,309.75,312.35,308.45,311.05,8480100,305.51
12/5/2013,316,318.45,307.55,308.75,10274800,303.25
12/4/2013,319,319.4,311.85,312.85,4393000,307.27
12/3/2013,321.95,321.95,317.45,319.2,3714100,313.51
12/2/2013,320.95,323.7,318.65,321.5,3390400,315.77
11/29/2013,313.05,321,313.05,320.4,4983100,314.69
11/28/2013,316,316.8,312,313.5,6782200,307.91
11/27/2013,309.05,315.2,309.05,314.15,4909400,308.55
11/26/2013,315.25,316.2,309.05,310.75,6813000,305.21
11/25/2013,311.35,316.9,311,316.2,4344400,310.56
11/22/2013,314.95,315.9,307.75,308.7,5967800,303.2
11/21/2013,319.3,320,311.1,312.95,6659700,307.37
11/20/2013,323.35,325.85,320,320.75,7505000,315.03
11/19/2013,326.9,327.65,322.5,323.5,4789300,317.73
11/18/2013,316,327,316,326.1,8351800,320.29
11/15/2013,314.45,314.45,314.45,314.45,0,308.85
11/14/2013,312,318,312,314.45,4288600,308.85
11/13/2013,320,320,313.5,314.15,4931200,308.55
11/12/2013,318,320.9,316.8,319.9,4258400,314.2
11/11/2013,317.9,321.9,313.1,316.65,6277100,311.01
11/8/2013,320.85,323.7,317.2,319.55,4441300,313.85
11/7/2013,319.05,323.8,315,320.45,7213000,314.74
11/6/2013,320,322.55,317.2,318.7,6070100,313.02
11/5/2013,329.1,329.9,318.1,319,13008500,313.31
11/4/2013,328.05,328.05,328.05,328.05,0,322.2
11/1/2013,333.15,334,327,328.05,6893600,322.2
10/31/2013,331.35,336.5,330.35,335,10967900,329.03
10/30/2013,329.5,333.5,325.55,333.1,10468800,327.16
10/29/2013,327.3,332.05,323,327.9,11374000,322.06
