Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,1.35,1.40,1.30,1.30,890200,1.30
2013-12-30,1.40,1.45,1.35,1.35,339400,1.35
2013-12-27,1.40,1.50,1.40,1.40,633100,1.40
2013-12-26,1.50,1.50,1.40,1.45,642800,1.45
2013-12-25,1.45,1.45,1.45,1.45,000,1.45
2013-12-24,1.45,1.45,1.40,1.45,130000,1.45
2013-12-23,1.40,1.45,1.40,1.40,134900,1.40
2013-12-20,1.40,1.45,1.35,1.40,98200,1.40
2013-12-19,1.35,1.45,1.35,1.40,129600,1.40
2013-12-18,1.35,1.45,1.35,1.40,284500,1.40
2013-12-17,1.40,1.45,1.35,1.40,176600,1.40
2013-12-16,1.40,1.45,1.35,1.40,532500,1.40
2013-12-13,1.35,1.40,1.35,1.40,204700,1.40
2013-12-12,1.40,1.45,1.35,1.35,174400,1.35
2013-12-11,1.40,1.45,1.40,1.40,410600,1.40
2013-12-10,1.45,1.45,1.35,1.45,343000,1.45
2013-12-09,1.35,1.40,1.30,1.40,322000,1.40
2013-12-06,1.35,1.40,1.35,1.35,180000,1.35
2013-12-05,1.45,1.50,1.40,1.40,627000,1.40
2013-12-04,1.50,1.50,1.40,1.45,1080100,1.45
2013-12-03,1.40,1.45,1.40,1.45,153000,1.45
2013-12-02,1.45,1.45,1.35,1.40,516000,1.40
2013-11-29,1.50,1.50,1.40,1.40,332200,1.40
2013-11-28,1.45,1.50,1.45,1.45,400200,1.45
2013-11-27,1.55,1.55,1.50,1.50,170000,1.50
2013-11-26,1.50,1.60,1.50,1.55,354200,1.55
2013-11-25,1.50,1.60,1.50,1.55,294700,1.55
2013-11-22,1.65,1.65,1.55,1.55,456500,1.55
2013-11-21,1.65,1.65,1.55,1.60,859900,1.60
2013-11-20,1.60,1.60,1.55,1.60,1163900,1.60
2013-11-19,1.55,1.55,1.55,1.55,275600,1.55
2013-11-18,1.40,1.50,1.40,1.50,974800,1.50
2013-11-15,1.45,1.45,1.45,1.45,000,1.45
2013-11-14,1.45,1.45,1.45,1.45,20800,1.45
2013-11-13,1.50,1.50,1.50,1.50,38300,1.50
2013-11-12,1.55,1.55,1.55,1.55,381900,1.55
2013-11-11,1.60,1.60,1.60,1.60,79400,1.60
2013-11-08,1.65,1.65,1.65,1.65,128300,1.65
2013-11-07,1.70,1.70,1.70,1.70,65800,1.70
2013-11-06,1.80,1.80,1.75,1.75,199700,1.75
2013-11-05,1.85,1.85,1.75,1.80,2147400,1.80
2013-11-04,1.75,1.75,1.75,1.75,000,1.75
2013-11-01,1.75,1.75,1.75,1.75,174400,1.75
2013-10-31,1.70,1.70,1.70,1.70,125700,1.70
2013-10-30,1.65,1.65,1.65,1.65,224000,1.65
2013-10-29,1.60,1.60,1.60,1.60,419800,1.60
2013-10-28,1.55,1.55,1.55,1.55,501700,1.55
2013-10-25,1.50,1.50,1.45,1.50,3331300,1.50
2013-10-24,1.45,1.45,1.45,1.45,322000,1.45
2013-10-23,1.35,1.40,1.35,1.40,507300,1.40
2013-10-22,1.25,1.35,1.25,1.35,1129900,1.35
2013-10-21,1.35,1.35,1.25,1.30,3863400,1.30
2013-10-18,1.30,1.30,1.30,1.30,479000,1.30
2013-10-17,1.25,1.25,1.25,1.25,258700,1.25
2013-10-16,1.20,1.20,1.20,1.20,000,1.20
2013-10-15,1.20,1.20,1.20,1.20,1018200,1.20
2013-10-14,1.15,1.15,1.10,1.15,818700,1.15
2013-10-11,1.10,1.10,1.10,1.10,783500,1.10
2013-10-10,1.05,1.05,1.05,1.05,593300,1.05
2013-10-09,1.00,1.00,0.95,1.00,1165800,1.00
2013-10-08,0.95,0.95,0.90,0.95,5808700,0.95
2013-10-07,0.90,0.90,0.90,0.90,332600,0.90
2013-10-04,0.85,0.85,0.85,0.85,178200,0.85
2013-10-03,0.80,0.80,0.80,0.80,264300,0.80
2013-10-02,0.75,0.75,0.75,0.75,000,0.75
2013-10-01,0.75,0.75,0.75,0.75,210000,0.75
2013-09-30,0.70,0.70,0.65,0.70,2842500,0.70
2013-09-27,0.65,0.70,0.60,0.65,10949200,0.65
2013-09-26,0.65,0.70,0.60,0.65,5025400,0.65
2013-09-25,0.75,0.75,0.65,0.65,5636900,0.65
2013-09-24,0.70,0.75,0.65,0.70,1941100,0.70
2013-09-23,0.70,0.75,0.65,0.70,841100,0.70
2013-09-20,0.75,0.75,0.65,0.70,1855200,0.70
2013-09-19,0.70,0.75,0.65,0.70,1537300,0.70
2013-09-18,0.75,0.75,0.65,0.70,1100700,0.70
2013-09-17,0.70,0.75,0.65,0.70,1523400,0.70
2013-09-16,0.70,0.75,0.65,0.70,6714600,0.70
2013-09-13,0.65,0.75,0.65,0.70,9963800,0.70
2013-09-12,0.70,0.75,0.70,0.70,1919600,0.70
2013-09-11,0.75,0.80,0.75,0.75,1009700,0.75
2013-09-10,0.80,0.85,0.80,0.80,1943400,0.80
2013-09-09,0.85,0.85,0.85,0.85,000,0.85
2013-09-06,0.90,0.90,0.85,0.85,2230000,0.85
2013-09-05,1.00,1.00,0.90,0.90,4022200,0.90
2013-09-04,1.05,1.25,0.85,0.95,11207400,0.95
2013-09-03,1.25,1.35,1.00,1.05,2014600,1.05
2013-09-02,1.40,1.40,1.20,1.25,388500,1.25
2013-08-30,1.15,1.35,1.00,1.30,1116400,1.30
2013-08-29,1.40,1.45,1.15,1.15,2179500,1.15
2013-08-28,1.30,1.45,1.25,1.40,2310900,1.40
2013-08-27,1.30,1.35,1.25,1.30,312600,1.30
2013-08-26,1.35,1.40,1.25,1.35,556400,1.35
2013-08-23,1.20,1.35,1.15,1.30,653600,1.30
2013-08-22,1.30,1.35,1.10,1.20,2025600,1.20
2013-08-21,1.40,1.45,1.30,1.30,895800,1.30
2013-08-20,1.40,1.45,1.30,1.35,539300,1.35
2013-08-19,1.40,1.45,1.35,1.40,593000,1.40
2013-08-16,1.45,1.45,1.30,1.35,1298700,1.35
2013-08-15,1.45,1.45,1.45,1.45,000,1.45
2013-08-14,1.60,1.65,1.40,1.45,1738000,1.45
2013-08-13,1.65,1.65,1.55,1.60,1523300,1.60
2013-08-12,1.90,1.90,1.55,1.60,1680500,1.60
2013-08-09,1.80,1.80,1.80,1.80,000,1.80
2013-08-08,1.80,1.80,1.70,1.80,292900,1.80
2013-08-07,1.70,1.80,1.65,1.75,610900,1.75
2013-08-06,1.70,1.80,1.65,1.65,710400,1.65
2013-08-05,1.75,1.85,1.65,1.70,579700,1.70
2013-08-02,1.85,1.85,1.70,1.75,506600,1.75
2013-08-01,1.90,2.15,1.80,1.85,1583200,1.85
2013-07-31,1.75,1.90,1.70,1.80,1185200,1.80
2013-07-30,2.10,2.10,1.75,1.80,1022200,1.80
2013-07-29,2.15,2.25,2.00,2.10,2366000,2.10
2013-07-26,2.25,2.25,2.00,2.10,1987300,2.10
2013-07-25,2.10,2.30,2.10,2.20,1957700,2.20
2013-07-24,1.90,2.20,1.75,2.10,3200900,2.10
2013-07-23,1.75,2.00,1.70,1.95,2591400,1.95
2013-07-22,1.95,2.00,1.70,1.75,918400,1.75
2013-07-19,2.05,2.10,1.65,1.90,5282800,1.90
2013-07-18,2.25,2.25,1.95,2.05,2015600,2.05
2013-07-17,2.30,2.35,2.20,2.25,864000,2.25
2013-07-16,2.30,2.40,2.25,2.25,594000,2.25
2013-07-15,2.40,2.45,2.30,2.35,912400,2.35
2013-07-12,2.50,2.50,2.40,2.40,261700,2.40
2013-07-11,2.50,2.55,2.40,2.45,610800,2.45
2013-07-10,2.50,2.55,2.40,2.45,390800,2.45
2013-07-09,2.40,2.65,2.40,2.50,388600,2.50
2013-07-08,2.50,2.50,2.40,2.45,130000,2.45
2013-07-05,2.70,2.70,2.40,2.45,1088300,2.45
2013-07-04,2.65,2.75,2.50,2.65,707000,2.65
2013-07-03,2.35,2.80,2.25,2.75,2074100,2.75
2013-07-02,2.55,2.55,2.25,2.35,4143400,2.35
