Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,6.50,6.95,6.50,6.75,29900,6.75
2013-12-30,6.65,6.90,6.50,6.65,23800,6.65
2013-12-27,6.50,6.85,6.30,6.75,58500,6.75
2013-12-26,6.05,6.50,6.05,6.40,22700,6.40
2013-12-25,6.05,6.05,6.05,6.05,000,6.05
2013-12-24,5.70,6.10,5.70,6.05,12900,6.05
2013-12-23,6.10,6.10,5.65,5.70,10500,5.70
2013-12-20,5.75,5.85,5.60,5.65,8300,5.65
2013-12-19,5.80,5.90,5.60,5.85,2000,5.85
2013-12-18,6.00,6.00,5.45,5.80,31700,5.80
2013-12-17,5.90,6.15,5.70,5.95,4500,5.95
2013-12-16,6.00,6.15,5.90,6.00,2900,6.00
2013-12-13,5.95,6.10,5.90,5.90,9100,5.90
2013-12-12,6.00,6.15,5.90,5.95,1400,5.95
2013-12-11,6.05,6.15,5.90,6.10,13200,6.10
2013-12-10,6.10,6.20,5.95,6.10,15100,6.10
2013-12-09,6.10,6.25,5.90,6.20,13300,6.20
2013-12-06,6.15,6.35,6.05,6.20,8200,6.20
2013-12-05,6.10,6.35,5.95,6.20,15400,6.20
2013-12-04,6.20,6.30,6.15,6.30,3500,6.30
2013-12-03,6.10,6.35,5.60,6.15,8100,6.15
2013-12-02,6.30,6.50,6.10,6.20,17500,6.20
2013-11-29,6.10,6.45,6.10,6.45,7200,6.45
2013-11-28,6.20,6.40,6.20,6.35,8600,6.35
2013-11-27,6.15,6.40,6.15,6.15,4200,6.15
2013-11-26,6.65,6.65,6.25,6.35,7300,6.35
2013-11-25,6.20,6.45,6.10,6.25,3600,6.25
2013-11-22,6.55,6.55,6.25,6.30,2400,6.30
2013-11-21,6.05,6.60,6.05,6.45,6000,6.45
2013-11-20,6.45,6.55,6.35,6.45,6200,6.45
2013-11-19,6.60,6.60,6.35,6.35,12000,6.35
2013-11-18,6.10,6.30,5.90,6.20,12100,6.20
2013-11-15,6.05,6.05,6.05,6.05,000,6.05
2013-11-14,6.15,6.35,5.90,6.05,18000,6.05
2013-11-13,6.25,6.40,6.05,6.05,8200,6.05
2013-11-12,6.20,6.50,6.05,6.40,12900,6.40
2013-11-11,6.75,6.75,6.20,6.20,18400,6.20
2013-11-08,6.10,6.55,6.05,6.45,25200,6.45
2013-11-07,6.85,6.85,6.15,6.15,22000,6.15
2013-11-06,6.40,6.90,6.15,6.75,49700,6.75
2013-11-05,5.85,6.50,5.80,6.35,14300,6.35
2013-11-04,6.00,6.00,6.00,6.00,000,6.00
2013-11-01,6.10,6.10,5.85,6.00,9600,6.00
2013-10-31,6.10,6.20,6.00,6.00,4500,6.00
2013-10-30,6.15,6.55,6.05,6.25,17100,6.25
2013-10-29,5.90,6.15,5.85,6.00,5500,6.00
2013-10-28,6.50,6.50,5.85,5.95,7300,5.95
2013-10-25,6.00,6.20,5.95,5.95,13400,5.95
2013-10-24,6.10,6.15,5.85,5.90,14000,5.90
2013-10-23,5.80,6.20,5.80,6.00,6500,6.00
2013-10-22,5.95,6.00,5.75,6.00,12800,6.00
2013-10-21,6.05,6.05,5.70,5.75,5000,5.75
2013-10-18,5.65,6.00,5.60,5.65,15200,5.65
2013-10-17,5.70,5.90,5.70,5.85,4300,5.85
2013-10-16,6.00,6.00,6.00,6.00,000,6.00
2013-10-15,5.85,6.00,5.80,6.00,4600,6.00
2013-10-14,5.90,6.05,5.90,5.95,3100,5.95
2013-10-11,6.10,6.30,6.00,6.05,12300,6.05
2013-10-10,6.25,6.25,6.00,6.15,21500,6.15
2013-10-09,5.70,6.35,5.70,6.20,4200,6.20
2013-10-08,6.00,6.10,5.95,6.05,3800,6.05
2013-10-07,5.80,6.30,5.80,6.15,5600,6.15
2013-10-04,6.00,6.35,5.90,6.05,21400,6.05
2013-10-03,5.60,6.05,5.55,6.05,46800,6.05
2013-10-02,5.50,5.50,5.50,5.50,000,5.50
2013-10-01,5.25,5.65,5.00,5.50,9900,5.50
2013-09-30,5.00,5.60,5.00,5.30,6100,5.30
2013-09-27,5.70,5.90,5.30,5.30,12200,5.30
2013-09-26,5.65,5.65,5.30,5.45,4200,5.45
2013-09-25,5.15,5.40,5.15,5.30,5700,5.30
2013-09-24,5.10,5.65,5.05,5.25,4500,5.25
2013-09-23,5.60,5.60,5.25,5.25,7700,5.25
2013-09-20,6.00,6.30,5.50,5.60,10500,5.60
2013-09-19,6.00,6.45,5.80,6.00,13300,6.00
2013-09-18,5.50,6.05,5.50,6.00,28600,6.00
2013-09-17,5.50,5.95,5.50,5.65,17500,5.65
2013-09-16,7.20,7.20,6.10,6.10,23900,6.10
2013-09-13,6.00,6.90,5.85,6.75,88900,6.75
2013-09-12,4.75,5.85,4.75,5.85,93700,5.85
2013-09-11,4.60,4.90,4.45,4.90,12100,4.90
2013-09-10,4.95,4.95,4.70,4.70,9300,4.70
2013-09-09,4.80,4.80,4.80,4.80,000,4.80
2013-09-06,4.65,4.85,4.65,4.80,6800,4.80
2013-09-05,4.65,4.65,4.50,4.65,6500,4.65
2013-09-04,4.50,4.65,4.30,4.50,8400,4.50
2013-09-03,4.50,4.70,4.50,4.65,4500,4.65
2013-09-02,4.50,4.70,4.45,4.50,14000,4.50
2013-08-30,4.80,4.95,4.35,4.50,33300,4.50
2013-08-29,4.50,4.80,4.30,4.75,6800,4.75
2013-08-28,4.30,4.80,4.00,4.70,8100,4.70
2013-08-27,4.50,4.90,4.20,4.40,24700,4.40
2013-08-26,4.95,4.95,4.55,4.70,2500,4.70
2013-08-23,4.60,4.90,4.50,4.80,6500,4.80
2013-08-22,4.80,4.80,4.50,4.60,7600,4.60
2013-08-21,4.40,4.80,4.35,4.75,6300,4.75
2013-08-20,4.30,4.80,4.30,4.55,4700,4.55
2013-08-19,4.60,4.90,4.35,4.40,7700,4.40
2013-08-16,4.65,5.30,4.60,4.65,15200,4.65
2013-08-15,4.70,4.70,4.70,4.70,000,4.70
2013-08-14,5.00,5.10,4.65,4.70,7300,4.70
2013-08-13,5.25,5.25,4.65,4.80,14700,4.80
2013-08-12,4.45,5.00,4.45,4.70,9000,4.70
2013-08-09,4.50,4.50,4.50,4.50,000,4.50
2013-08-08,4.50,4.70,4.30,4.50,4800,4.50
2013-08-07,4.75,5.15,4.30,4.70,24100,4.70
2013-08-06,4.70,4.75,4.20,4.40,12100,4.40
2013-08-05,5.10,5.10,4.65,4.75,7600,4.75
2013-08-02,5.00,5.30,4.60,5.25,35300,5.25
