Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,426.45,426.80,422.55,424.20,1210800,403.8866
2013-12-30,425.00,428.60,421.90,425.55,2124000,405.1719
2013-12-27,425.30,428.10,423.00,425.10,2475500,404.7435
2013-12-26,418.10,427.00,416.30,425.35,4003700,404.9815
2013-12-25,418.40,418.40,418.40,418.40,000,398.3643
2013-12-24,424.00,425.35,416.65,418.40,2308900,398.3643
2013-12-23,418.00,426.80,417.20,423.20,2704700,402.9344
2013-12-20,410.80,418.85,410.35,417.95,2703900,397.9359
2013-12-19,418.00,419.20,409.20,410.80,3505900,391.1282
2013-12-18,408.80,416.45,407.85,414.90,3016100,395.0319
2013-12-17,409.35,413.15,406.00,408.70,3512400,389.1288
2013-12-16,415.15,420.20,407.25,408.90,4647900,389.3192
2013-12-13,409.90,416.65,409.10,415.15,6141200,395.2699
2013-12-12,414.90,417.25,411.50,412.75,5857700,392.9849
2013-12-11,421.95,424.85,416.00,418.25,6704400,398.2215
2013-12-10,420.00,424.90,417.55,423.30,4767100,403.0296
2013-12-09,430.00,432.00,420.00,421.00,5017500,400.8398
2013-12-06,421.00,424.00,418.00,422.70,4156100,402.4584
2013-12-05,419.15,422.30,416.30,421.40,5566800,401.2206
2013-12-04,409.00,415.70,408.00,413.90,4210800,394.0798
2013-12-03,407.00,411.70,405.10,409.80,5769000,390.1761
2013-12-02,400.10,409.90,396.00,408.30,5921300,388.7479
2013-11-29,402.00,405.40,398.60,400.60,3549700,381.4167
2013-11-28,395.90,403.70,395.50,400.90,4635300,381.7023
2013-11-27,392.00,395.95,387.85,394.75,4104000,375.8468
2013-11-26,396.20,397.95,389.50,391.75,4901600,372.9905
2013-11-25,394.10,399.00,393.30,397.90,4762300,378.846
2013-11-22,383.90,395.50,383.60,392.50,7614900,373.7046
2013-11-21,382.90,384.90,377.00,382.60,6331800,364.2786
2013-11-20,382.80,388.85,379.40,385.00,7232900,366.5637
2013-11-19,388.10,391.55,380.20,383.25,9549300,364.8975
2013-11-18,379.00,387.95,378.35,386.80,7386200,368.2775
2013-11-15,375.35,375.35,375.35,375.35,000,357.3758
2013-11-14,368.00,376.90,359.10,375.40,16785900,357.4234
2013-11-13,350.30,363.90,350.30,357.75,8165000,340.6186
2013-11-12,362.00,363.50,350.10,352.50,7567800,335.62
2013-11-11,355.80,365.55,352.25,360.80,7566800,343.5225
2013-11-08,345.90,356.85,345.55,355.75,7856200,338.7144
2013-11-07,332.30,349.90,332.30,345.80,9786700,329.2408
2013-11-06,340.30,341.70,332.40,333.30,4337000,317.3394
2013-11-05,339.40,344.90,331.70,339.00,4456600,322.7665
2013-11-04,336.15,336.15,336.15,336.15,000,320.053
2013-11-01,335.00,341.80,332.55,336.15,4538700,320.053
2013-10-31,325.60,338.30,324.15,334.90,6259000,318.8628
2013-10-30,328.00,329.90,321.15,326.60,4944800,310.9603
2013-10-29,311.00,327.30,308.70,325.80,7791900,310.1986
2013-10-28,325.00,327.40,311.35,312.30,6896600,297.345
2013-10-25,330.15,330.80,321.10,321.85,5506600,306.4377
2013-10-24,333.00,340.90,329.70,332.20,4996200,316.2921
2013-10-23,340.70,343.90,331.10,335.20,6709500,319.1485
2013-10-22,337.00,343.40,334.50,340.00,5827400,323.7186
2013-10-21,329.00,338.50,329.00,336.10,7183700,320.0054
2013-10-18,312.80,330.00,310.80,328.90,13131400,313.1501
2013-10-17,311.00,316.45,308.85,310.10,6141000,295.2504
2013-10-16,310.50,310.50,310.50,310.50,000,295.6312
2013-10-15,303.00,313.25,300.75,310.50,7864800,295.6312
2013-10-14,308.00,309.00,300.70,301.60,3919100,287.1574
2013-10-11,311.70,313.25,304.00,307.90,4894400,293.1557
2013-10-10,305.70,311.00,305.00,308.60,5944600,293.8222
2013-10-09,292.00,304.95,292.00,303.25,5603200,288.7284
2013-10-08,304.35,305.65,295.65,296.80,5332700,282.5873
2013-10-07,288.00,301.80,286.40,300.40,7197300,286.0149
2013-10-04,283.90,294.20,282.20,288.50,6346600,274.6847
2013-10-03,276.40,289.50,276.50,285.90,6538800,272.2092
2013-10-02,275.75,275.75,275.75,275.75,000,262.5453
2013-10-01,274.25,278.50,268.85,275.75,6134600,262.5453
2013-09-30,284.40,284.40,266.20,271.60,10382200,258.594
2013-09-27,299.90,303.00,286.00,287.40,5317000,273.6374
2013-09-26,290.80,301.50,290.20,299.90,6551500,285.5388
2013-09-25,294.00,295.20,286.25,291.10,3746600,277.1602
2013-09-24,291.50,297.20,290.10,292.60,3992400,278.5884
2013-09-23,297.90,303.80,290.80,293.50,4487100,279.4453
2013-09-20,310.00,310.30,295.10,300.00,8233800,285.6341
2013-09-19,300.10,313.50,298.00,310.60,7430400,295.7265
2013-09-18,289.90,291.90,285.60,290.20,3446500,276.3034
2013-09-17,290.10,292.45,284.90,288.20,7358300,274.3991
2013-09-16,304.50,306.90,289.50,291.60,5553600,277.6363
2013-09-13,302.60,305.80,296.40,298.30,7290400,284.0154
2013-09-12,313.90,317.50,301.35,302.75,6633400,288.2524
2013-09-11,302.00,318.80,298.50,315.70,9079600,300.5822
2013-09-10,296.30,302.00,293.35,300.60,6153500,286.2053
